id,name,info_url,mobile_app_count,social_media_count,gallery_count
2472,Access Board,,0,2,0
1081,Administration for Children and Families (ACF),http://www.acf.hhs.gov/,0,16,0
961,Administrative Office of the U.S. Courts,http://www.uscourts.gov,0,4,0
11,Advisory Council on Historic Preservation (ACHP),http://www.achp.gov,0,11,0
1101,Agency for Healthcare Research and Quality (AHRQ),http://www.ahrq.gov/,1,22,0
2462,American Battle Monuments Commission,http://www.abmc.gov/home.php,0,4,0
1141,Animal and Plant Health Inspection Service (APHIS),http://www.aphis.usda.gov/,1,11,0
991,Architect of the Capitol (AOC),http://www.aoc.gov,0,17,0
1151,"Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF)",http://www.atf.gov/,0,8,0
1161,Bureau of Economic Analysis (BEA),http://www.bea.gov/,0,4,0
1181,Bureau of Indian Affairs (BIA),http://www.bia.gov/,0,33,0
2484,Bureau of Indian Affairs and Bureau of Indian Education,,0,4,0
1191,Bureau of Industry and Security (BIS),http://www.bis.doc.gov/,0,1,0
1211,Bureau of Labor Statistics (BLS),http://www.bls.gov/,0,2,0
1221,Bureau of Land Management (BLM),http://www.blm.gov,1,18,0
1231,Bureau of Ocean Energy Management (BOEM),http://www.boem.gov/,0,5,0
1241,Bureau of Reclamation,http://www.usbr.gov/,0,20,0
1251,Bureau of Safety and Environmental Enforcement (BSEE),http://www.bsee.gov/,0,3,0
1261,Bureau of the Census,http://www.census.gov/,0,6,0
1281,Bureau of Transportation Statistics (BTS),http://www.bts.gov/,0,2,0
1301,Center for Nutrition Policy and Promotion (CNPP),http://www.cnpp.usda.gov,0,3,0
1311,Centers for Disease Control and Prevention (CDC),http://www.cdc.gov/,25,158,0
1321,Centers for Medicare and Medicaid Services (CMS),http://www.cms.gov/,0,20,0
91,Commission on Civil Rights (USCCR),http://www.usccr.gov,0,8,0
101,Commodity Futures Trading Commission (CFTC),http://www.cftc.gov,0,9,0
1052,Consumer Financial Protection Bureau ,www.consumerfinance.gov,0,11,0
111,Consumer Product Safety Commission (CPSC),http://www.cpsc.gov,1,24,0
121,Corporation for National and Community Service (CNCS),http://www.nationalservice.gov,0,116,0
2499,Corps of Engineers--Civil Works,,1,3,0
1391,Defense Finance and Accounting Service (DFAS),http://www.dfas.mil/,0,3,0
1401,Defense Human Resources Activity (DHRA),http://www.dhra.mil/,1,8,0
1411,Defense Information Systems Agency (DISA),http://www.disa.mil/,0,5,0
1461,Defense Security Service (DSS),http://www.dss.mil/,0,4,0
41,Department of Agriculture (USDA),http://www.usda.gov,6,360,0
81,Department of Commerce,http://www.commerce.gov,0,390,0
151,Department of Defense (DOD),http://www.defense.gov,0,377,0
2669,Department of Defense--Military Programs,,1,322,0
161,Department of Education (ED),http://www.ed.gov,0,98,0
181,Department of Energy (DOE),http://www.energy.gov,0,144,0
361,Department of Health and Human Services (HHS),http://www.hhs.gov,14,619,0
371,Department of Homeland Security (DHS),http://www.dhs.gov,3,397,0
381,Department of Housing and Urban Development (HUD),http://www.hud.gov,1,0,0
431,Department of Justice (DOJ),http://www.justice.gov,0,336,0
441,Department of Labor (DOL),http://www.labor.gov,1,51,0
761,Department of State,http://www.state.gov,0,2047,0
1501,Department of the Air Force,http://www.af.mil/,0,126,0
1511,Department of the Army,http://www.army.mil/,0,64,0
411,Department of the Interior (DOI),http://www.doi.gov,17,1527,0
1521,Department of the Navy,http://www.navy.mil/,0,1456,0
801,Department of the Treasury,http://www.treasury.gov,0,78,0
791,Department of Transportation (DOT),http://www.dot.gov,1,67,0
811,Department of Veterans Affairs (VA),http://www.va.gov,0,263,0
1551,Economic Research Service (ERS),http://www.ers.usda.gov/,0,2,0
1561,Economics and Statistics Administration (ESA),http://www.esa.doc.gov/,0,6,0
191,Environmental Protection Agency (EPA),http://www.epa.gov,8,100,0
201,Equal Employment Opportunity Commission (EEOC),http://www.eeoc.gov,0,5,0
221,Farm Credit Administration (FCA),http://www.fca.gov,0,4,0
1601,Federal Aviation Administration (FAA),http://www.faa.gov/,1,8,0
1611,Federal Bureau of Investigation (FBI),http://www.fbi.gov/,0,68,0
241,Federal Deposit Insurance Corporation (FDIC),http://www.fdic.gov,0,5,0
1641,Federal Emergency Management Agency (FEMA),http://www.fema.gov/,0,43,0
261,Federal Energy Regulatory Commission (FERC),http://www.ferc.gov,0,22,0
1651,Federal Highway Administration (FHWA),http://www.fhwa.dot.gov/,0,6,0
271,Federal Housing Finance Agency (FHFA),http://www.fhfa.gov/,0,6,0
2671,Federal Reserve Board,,0,13,0
341,Federal Trade Commission (FTC),http://www.ftc.gov,0,21,0
1741,Fish and Wildlife Service (FWS),http://www.fws.gov/,0,457,0
1751,Food and Drug Administration (FDA),http://www.fda.gov/,5,28,0
1771,Food Safety and Inspection Service (FSIS),http://www.fsis.usda.gov/,4,6,0
1791,Forest Service,http://www.fs.fed.us/,3,217,0
351,General Services Administration (GSA),http://www.gsa.gov,10,199,0
2693,Government Printing Office,,0,5,0
1821,Indian Health Service (IHS),http://www.ihs.gov/,0,46,0
401,Inter-American Foundation (IAF),http://www.iaf.gov,0,9,0
1061,Internal Revenue Service (IRS),http://www.irs.gov,0,26,0
2549,Judicial Branch,,0,35,0
861,Library of Congress (LOC),http://www.libraryofcongress.gov,3,34,0
451,Merit Systems Protection Board (MSPB),http://www.mspb.gov,0,1,0
1891,Minority Business Development Agency (MBDA),http://www.mbda.gov/,0,9,0
1901,Missile Defense Agency (MDA),http://www.mda.mil/,0,3,0
2560,Morris K. Udall and Stewart L. Udall Foundation,,0,11,0
471,National Aeronautics and Space Administration (NASA),http://www.nasa.gov,0,595,0
1911,National Agricultural Statistics Service (NASS),http://www.nass.usda.gov/,0,1,0
481,National Archives and Records Administration (NARA),http://www.archives.gov,5,141,0
2652,National Cancer Institute,,0,71,0
2692,"National Commission on Military, National, and Public Service",,0,9,0
501,National Council on Disability (NCD),http://www.ncd.gov,0,6,0
521,National Endowment for the Arts (NEA),http://www.nea.gov,0,8,0
531,National Endowment for the Humanities (NEH),http://www.neh.gov,0,21,0
1941,National Geospatial-Intelligence Agency (NGA),http://www.nga.mil/,0,6,0
1951,National Guard Bureau,http://www.nationalguard.mil/,0,20,0
1961,National Highway Traffic Safety Administration (NHTSA),http://www.nhtsa.gov/,0,3,0
1981,National Institute of Standards and Technology (NIST),http://www.nist.gov,0,34,0
2662,National Institute on Drug Abuse,,0,11,0
1991,National Institutes of Health (NIH),http://www.nih.gov/,16,239,0
2655,National Library of Medicine,,0,12,0
2001,National Nuclear Security Administration (NNSA),http://nnsa.energy.gov/,0,6,0
2011,National Oceanic and Atmospheric Administration (NOAA),http://www.noaa.gov/,1,360,0
2021,National Park Service (NPS),http://www.nps.gov,13,1301,0
561,National Science Foundation (NSF),http://www.nsf.gov,0,32,0
2041,National Security Agency (NSA),http://www.nsa.gov/,0,6,0
2061,Natural Resources Conservation Service (NRCS),http://www.nrcs.usda.gov,0,3,0
581,Nuclear Regulatory Commission (NRC),http://www.nrc.gov,0,5,0
2586,Office of Justice Programs,,0,16,0
2589,Office of Management and Budget,,0,1,0
621,Office of Personnel Management (OPM),http://www.opm.gov,0,32,0
2596,Office of Surface Mining Reclamation and Enforcement,,0,2,0
2181,Office of the Comptroller of the Currency (OCC),http://www.occ.treas.gov/,0,5,0
2606,Office of the United States Trade Representative,,0,2,0
2201,Patent and Trademark Office (USPTO),http://www.uspto.gov/,0,11,0
671,Peace Corps,http://www.peacecorps.gov,0,178,0
681,Pension Benefit Guaranty Corporation (PBGC),http://www.pbgc.gov,0,4,0
2221,Pipeline and Hazardous Materials Safety Administration (PHMSA),http://www.phmsa.dot.gov/,1,0,0
2615,Program Support Center,,0,1,0
711,Railroad Retirement Board (RRB),http://www.rrb.gov,0,1,0
2251,Saint Lawrence Seaway Development Corporation (SLSDC),http://www.seaway.dot.gov/,0,1,0
721,Securities and Exchange Commission (SEC),http://www.sec.gov,0,19,0
731,Selective Service System (SSS),http://www.sss.gov,0,1,0
741,Small Business Administration (SBA),http://www.sba.gov,0,105,0
751,Social Security Administration (SSA),http://www.ssa.gov,0,57,0
2271,Substance Abuse and Mental Health Services Administration (SAMHSA),http://www.samhsa.gov/,6,13,0
2291,Transportation Security Administration (TSA),http://www.tsa.gov/,0,15,0
891,U.S. Bankruptcy Courts,http://www.uscourts.gov/FederalCourts/UnderstandingtheFederalCourts/BankruptcyCourts.aspx,0,7,0
881,U.S. District Courts,http://www.uscourts.gov/FederalCourts/UnderstandingtheFederalCourts/DistrictCourts.aspx,0,13,0
851,U.S. Senate,http://www.senate.gov,0,7,0
981,U.S. Sentencing Commission (USSC),http://www.ussc.gov,0,2,0
61,United States Agency for Global Media (USAGM),https://www.usagm.gov/,0,181,0
31,United States Agency for International Development (USAID),http://www.usaid.gov,0,312,0
2311,United States Citizenship and Immigration Services (USCIS),http://www.uscis.gov/portal/site/uscis,0,26,0
2321,United States Coast Guard ,http://www.uscg.mil/,0,63,0
2331,United States Customs and Border Protection (CBP),http://www.cbp.gov/,3,28,0
2341,United States Geological Survey (USGS),http://www.usgs.gov/,0,178,0
2351,United States Immigration and Customs Enforcement (ICE),http://www.ice.gov/,0,11,0
701,United States Postal Service (USPS),http://www.usps.com,0,11,0
2646,United States Sentencing Commission,,0,2,0
2391,Veterans Benefits Administration (VBA),http://www.vba.va.gov/,0,5,0
2401,Veterans Health Administration (VHA),http://www.va.gov/health,0,10,0
